bus_name,address,city,state,tax_year,revenue,explanation
UNITED WAY OF DUPAGEWEST COOK,1000 JORIE BLVD 360,OAK BROOK,IL,2014,4479096,
XILIN NORTHWEST CHINESE SCHOOL,PO BOX 2500,PALATINE,IL,2015,343038,
AMERICAN LEGION POST 0346 WAY,1346 WABASH AVENUE,TERRE HAUTE,IN,2013,128420,CASH THEFT
AMERICAN LEGION POST 0346 WAY,1346 WABASH AVENUE,TERRE HAUTE,IN,2014,187073,CASH THEFT
AMERICAN LEGION POST 0346 WAYN,1346 WABASH AVENUE,TERRE HAUTE,IN,2015,227990,CASH THEFT
AMERICAN LEGION POST 143,905 MAPLE STREET,BRISTOL,IN,2015,290669,
ASSOC FOR RESEARCH ON NON-PROFIT ORGANIZATIONS & VOLUNTARY ACTION,550 W NORTH STREET,INDIANAPOLIS,IN,2011,497437,"DURING THE CURRENT YEAR IT WAS DISCOVERED THAT AN EMPLOYEE OF THE ORGANIZATION WAS DIVERTING FUNDS FOR HIS PERSONAL USE WITHOUT AUTHORIZATION. UPON DISCOVERY THE EMPLOYEE WAS TERMINATED AND AN INVESTIGATION BEGAN. THE POLICE WERE NOTIFIED AND A FORENSIC CPA WAS HIRED. IN ADDITION, A CLAIM WAS FILED WITH THE INSURANCE COMPANY. THE INTERNAL INVESTIGATION, LEAD BY THE FORENSIC CPA, DETERMINED THAT THE LOSS WAS $57,908 OVER A 2 YEAR PERIOD ENDING UPON THE EMPLOYEE'S TERMINATION. AT THIS POINT IN TIME THE PROSECUTING ATTORNEY IS PROCEEDING WITH A CRIMINAL INVESTIGATION AND HAS FILE CHARGES. THE ORGANIZATION HAS BOOKED THE ENTIRE LOSS OF $57,908 DUE TO DEFALCATION IN THE CURRENT YEAR. AT THE TIME THE FINANCIAL STATEMENTS WERE PREPARED, THE LIKELIHOOD OF THE INSURANCE CLAIM OF $50,000 BEING PAID TO THE ORGANIZATION WAS UNDETERMINED AND NO TRANSACTION WAS BOOKED TO RECOGNIZE THE POTENTIAL PROCEEDS. THE INSURANCE REIMBURSEMENT WAS RECEIVED IN MAY 2013, SUBSEQUENT TO THE ISSUANCE OF THE FINANCIAL STATEMENTS. THE EXPENSES OF THE INVESTIGATION INCLUDING ATTORNEY FEES, FORENSIC CPA, AND STAFF TIME HAVE BEEN EXPENSED IN THE CURRENT YEAR AS INCURRED. WHILE THE ORGANIZATION RECEIVED GRANT FUNDS, IT WAS DETERMINED THAT NO GRANT FUNDS WERE DIVERTED AS GENERALLY THESE ARE MAINTAINED IN SEPARATE ACCOUNTS (NOT BY REQUIREMENT) THE ORGANIZATION HAS TAKEN SEVERAL STEPS IN AN ATTEMPT TO AVOID THE POSSIBILITY OF LOSS IN THE FUTURE. FIRST ALL PASSWORDS WERE CHANGED, LOCKS ADDED AND CHECKING AND CREDIT ACCOUNTS WERE CLOSED. IN ADDITION, ALL PROCEDURES INCLUDING INTERNAL CONTROLS WERE INITIALLY REVIEWED AND STRENGTHENED. CURRENTLY, THE ORGANIZATION HAS EMPLOYED AN OUTSIDE CONSULTANT TO EVALUATE THE ENTIRE ORGANIZATION AND MAKE RECOMMENDATIONS TO NOT ONLY AVOID THE POTENTIAL FOR LOSS, BUT TO MAKE THE ORGANIZATION AN EFFICIENT AND STRONGER ENTITY."
AURORA EMERGENCY RESCUE INC,320 THIRD STREET,AURORA,IN,2015,480052,"DURING THE YEAR 2015 AND THE MONTHS OF JANUARY AND FEBRUARY OF 2016, THE ORGANIZATIONS FORMER TREASURER TOOK CASH ADVANCES AND DEBIT CARD WITHDRAWS FOR PERSONAL USE."
AURORA EMERGENCY RESCUE INC,320 THIRD STREET,AURORA,IN,2016,386453,"DURING THE YEAR 2015 AND THE MONTHS OF JANUARY AND FEBRUARY OF 2016, THE ORGANIZATIONS FORMER TREASURER TOOK CASH ADVANCES AND DEBIT CARD WITHDRAWS FOR PERSONAL USE."
CENTRAL INDIANA DANCE ENSEMBLE,4883 DEER RIDGE DR N,CARMEL,IN,2014,225543,"A VOLUNTEER, AND SPOUSE OF A BOARD MEMBER, USED COMPANY FUNDS TO PAY FOR PERSONAL EXPENSES OVER A 3 YEAR PERIOD. THE SHORTAGE WAS FOUND DURING AN AUDIT OF THE ACCOUNT BY THE TREASURER AND VICE PRESIDENT OF THE ORGANIZATION, AND WHEN CONFRONTED THE VOLUNTEER ADMITTED TO DOING THIS AND THE FUNDS WERE IMMEDIATELY REPAID IN FULL. ADDITIONAL INTERNAL ACCOUNTING CONTROL PROCEDURES HAVE BEEN IMPLEMENTED AND THE VOLUNTEER NO LONGER IS INVOLVED WITH MONETARY DUTIES."
CENTRAL INDIANA DANCE ENSEMBLE,4883 DEER RIDGE DR N,CARMEL,IN,2015,244536,"A VOLUNTEER, AND SPOUSE OF A BOARD MEMBER, USED COMPANY FUNDS TO PAY FOR PERSONAL EXPENSES OVER A 3 YEAR PERIOD. THE SHORTAGE WAS FOUND DURING AN AUDIT OF THE ACCOUNT BY THE TREASURER AND VICE PRESIDENT OF THE ORGANIZATION, AND WHEN CONFRONTED THE VOLUNTEER ADMITTED TO DOING THIS AND THE FUNDS WERE IMMEDIATELY REPAID IN FULL. ADDITIONAL INTERNAL ACCOUNTING CONTROL PROCEDURES HAVE BEEN IMPLEMENTED AND THE VOLUNTEER NO LONGER IS INVOLVED WITH MONETARY DUTIES."
COUNTRY CLUB OF INDIANAPOLIS,2801 COUNTRY CLUB ROAD,INDIANAPOLIS,IN,2011,2516788,COUNTRY CLUB OF INDIANAPOLIS DISCOVERED EMBEZZLEMENT BY AN EMPLOYEE FOR THE 2009-2011 TAX YEARS. THE CASE IS UNDER INVESTIGATION AND THE TOTAL AMOUNT IS STILL UNDETERMINED.
DAMAR SERVICES INC,6067 DECATUR BLVD SUITE,INDIANAPOLIS,IN,2012,45634282,"DURING FISCAL YEAR 2013, DAMAR SERVICES BECAME AWARE THAT A FORMER EMPLOYEE MAY HAVE IMPROPERLY ACCEPTED ILLEGAL KICKBACKS FROM ONE OR MORE VENDORS. THE TOTAL LOSS THAT CAN BE SUBSTANTIATED BY THE ORGANIZATION IS APPROXIMATELY $78,000. DAMAR'S SECURITY AND FINANCIAL CLAIMS PROVIDER HAS BEEN NOTIFIED AND IS TAKING THE APPROPRIATE REMEDIAL ACTION. ADDITIONALLY, THE FRAUD ALLEGATION WAS SUBMITTED TO THE MARION COUNTY PROSECUTOR'S OFFICE TO INVESTIGATE WHETHER LEGAL REMEDIES ARE AVAILABLE."
DAMAR SERVICES INC,6067 DECATUR BLVD SUITE,INDIANAPOLIS,IN,2012,44216656,"DURING FISCAL YEAR 2013, DAMAR SERVICES BECAME AWARE THAT A FORMER EMPLOYEE MAY HAVE IMPROPERLY ACCEPTED ILLEGAL KICKBACKS FROM ONE OR MORE VENDORS. THE TOTAL LOSS THAT CAN BE SUBSTANTIATED BY THE ORGANIZATION IS APPROXIMATELY $78,000. DAMAR'S SECURITY AND FINANCIAL CLAIMS PROVIDER HAS BEEN NOTIFIED AND IS TAKING THE APPROPRIATE REMEDIAL ACTION. ADDITIONALLY, THE FRAUD ALLEGATION WAS SUBMITTED TO THE MARION COUNTY PROSECUTOR'S OFFICE TO INVESTIGATE WHETHER LEGAL REMEDIES ARE AVAILABLE."
FOUNTAIN-WARREN POST #3318,203 S MARKET ST,ATTICA,IN,2012,75855,
FOUNTAIN-WARREN POST #3318,203 S MARKET ST,ATTICA,IN,2013,85103,
FREE & ACCEPTABLE MASONS MOST WORSHIPFUL PRINCE HALL GRAND LODGE,5605 E 38TH STREET,INDIANAPOLIS,IN,2010,120617,
INDIANA SEED TRADE ASSOCIATION INC,135 NORTH PENNSYLVANIA STREET,INDIANAPOLIS,IN,2010,19877,FORMER ADMINISTRATOR MAY HAVE DIVERTED ISTA FUNDS FOR PERSONAL USE. ISTA WILL POSSIBLY FILE A LAWSUIT TO RECOVER THE MISAPPROPRIATED FUNDS.
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES LOCAL UNION 460,8364 MINNESOTA ST,MERRILLVILLE,IN,2010,229156,"DURING THE CALENDAR YEAR 2010, THE LOCAL DISCOVERED THAT FRAUDULENT TRANSACTIONS HAD OCCURRED. THE TRANSACTIONS CONSISTED OF UNAUTHORIZED CHARGES ON THE LOCAL'S CREDIT CARD, THEFT OF CASH RECEIPTS AND AN UNEXPLAINED CHECK ISSUED TO AN EMPLOYEE AS FOLLOWS: PERSONAL PURCHASES ON THE LOCAL'S CREDIT CARD IN 2009 = $13,526 PERSONAL PURCHASES ON THE LOCAL'S CREDIT CARD IN 2010 = $ 5,207 PERSONAL MOBILE CELL PHONE CHARGES TO THE LOCAL = $ 3,118 CASH DUES RECEIPTS NOT MADE TO THE LOCAL'S ACCOUNTS = $10,335 CHECK PAID TO FORMER EMPLOYEE FOR UNSUBSTANTIATED EXPENSE = $ 4,275 UPON DISCOVERY OF THE DEFALCATIONS, THE LOCAL ENGAGED AN ACCOUNTING FIRM TO COMPLETE AN ANALYSIS AND IDENTIFY THE EXTENT OF THE LOSSES. THE LOCAL TERMINATED THE OFFENDING EMPLOYEE IMMEDIATELY, CANCELLED THE EMPLOYEE'S ACCESS TO ALL ACCOUNTS AND TO THE COMPUTER NETWORK, STOPPED ACCEPTING CASH RECEIPTS, AND IS IN THE PROCESS OF FILING A CLAIM ON THEIR FIDELITY BOND."
MARION GENERAL HOSPITAL INC,441 N WABASH AVENUE SUITE,MARION,IN,2013,174669268,"IN MARCH 2012, A CONTRACTED MANAGER DEVISED A SCHEME TO DEFRAUD THE CORPORATION. THE INDIVIDUAL USED HIS OR HER LIMITED AUTHORITY TO AUTHORIZE PAYMENT OF CERTAIN EXPENSES TO DIVERT FUNDS FROM THE CORPORATION UNDER FALSE PRETENSES TO OTHER ORGANIZATIONS OR INDIVIDUALS. THE CORPORATION BECAME AWARE OF THE DIVERSIONS PURSUANT TO A REGULAR REVIEW OF BUSINESS RECORDS. UPON INVESTIGATION OF THE MATTER, THE RELATIONSHIP WITH THE INDIVIDUAL WAS TERMINATED. THE CORPORATION HAS ALSO PURSUED THE MATTER WITH THE MANAGEMENT COMPANY, AND REPORTED THE MATTER TO AUTHORITIES. THE ESTIMATED AMOUNT OF LOSSES STEMMING FROM THE DIVERSION WAS BETWEEN $250,000 AND $300,000. THE CORPORATION HAS SUBSEQUENTLY INSTITUTED MORE STRINGENT PROCEDURES REGARDING THE APPROVAL OF VENDORS AND AUTHORIZATION OF PAYMENTS TO PREVENT SIMILAR OCCURRENCES."
MARION-KOKOMO ELECTRICIANS JATC JOINT APPRENTICESHIP AND TRAINING,PO BOX 2796,KOKOMO,IN,2013,247240,"REGRETTABLY IN JULY OF 2014, IT WAS DISCOVERED THAT A MARION-KOKOMO ELECTRICIANS JATC EMPLOYEE, HAD ALLEGEDLY ENGAGED IN SIGNIFICANT INSTANCES OF EMBEZZLEMENT AND EMPLOYEE THEFT FROM JUNE 2006 UNTIL HER TERMINATION IN JUNE 2013. IT HAS BEEN DETERMINED THAT SAID EMPLOYEE ALLEGEDLY STOLE APPROXIMATELY $141,778.73 FROM MARION-KOKOMO ELECTRICIANS JATC. CHARGES WERE FILED BY HOWARD COUNTY PROSECUTOR AND THAT CASE IS ONGOING. A CLAIM HAS ALSO BEEN FILED WITH THE INSURANCE CARRIER."
MARION-KOKOMO ELECTRICIANS JATC JOINT APPRENTICESHIP AND TRAINING,PO BOX 2796,KOKOMO,IN,2014,246927,"REGRETTABLY IN JULY OF 2014, IT WAS DISCOVERED THAT A MARION-KOKOMO ELECTRICIANS JATC EMPLOYEE, HAD ALLEGEDLY ENGAGED IN SIGNIFICANT INSTANCES OF EMBEZZLEMENT AND EMPLOYEE THEFT FROM JUNE 2006 UNTIL HER TERMINATION IN JUNE 2013. IT HAS BEEN DETERMINED THAT SAID EMPLOYEE ALLEGEDLY STOLE APPROXIMATELY $141,778.73 FROM MARION-KOKOMO ELECTRICIANS JATC. CHARGES WERE FILED BY HOWARD COUNTY PROSECUTOR AND THAT CASE IS ONGOING. A CLAIM HAS ALSO BEEN FILED WITH THE INSURANCE CARRIER."
MOORES HILL AND SPARTA TOWNSH,PO BOX 409,MOORES HILL,IN,2010,120379,
NORTH CENTRAL INDIANA RURAL CRISIS CENTER INC,PO BOX 212,RENSSELAER,IN,2012,266591,"IN SEPTEMBER 2012, THE ORGANIZATION DISCOVERED THE EXECUTIVE DIRECTOR HAD MADE UNAUTHORIZED DISBURSEMENTS. THE EXECUTIVE DIRECTOR RESIGNED IMMEDIATELY AND AN INTERNAL INVESTIGATION WAS CONDUCTED TO DETERMINE THE FINANCIAL IMPACT AS A RESULT OF THE UNAUTHORIZED DISBURSEMENTS. SUBSEQUENT TO THE DISCOVERY OF THE UNAUTHORIZED DISBURSEMENTS, THE FORMER EXECUTIVE DIRECTOR REIMBURSED THE ORGANIZATION 1,000. THE 2012 UNAUTHORIZED DISBURSEMENTS, NET OF THE 1,000 RECOVERY IS PRESENTED ON THE STATEMENT OF REVENUES, EXPENSES AND CHANGES IN NET ASSETS--MODIFIED CASH BASIS AS UNAUTHORIZED DISBURSEMENT, NET OF RECOVERIES. THE ORGANIZATION DETERMINED UNAUTHORIZED DISBURSEMENTS NOT REIMBURSED TOTALED 9,000 FROM 2009 TO 2010. UNREIMBURSED, UNAUTHORIZED DISBURSEMENTS FOR THE YEARS ENDED DECEMBER 31, 2012 AND 2011 TOTALED 9,458 AND 6,396, RESPECTIVELY. SUBSEQUENT TO DECEMBER 31, 2012, THE ORGANIZATION FILED A CLAIM WITH ITS INSURANCE COMPANY FOR 26,319 WHICH INCLUDES 1,465 OF DIRECTLY DIVERTED GRANT FUNDS, 25,854 UNAUTHORIZED DISBURSEMENTS, LESS THE 1,000 RECOVERY AS NOTED ABOVE. THE ORGANIZATION IS CONTINUING TO PURSUE OPTIONS RELATED TO THE RECOVERY OF THE UNAUTHORIZED DISBURSEMENTS. IN ADDITION TO THE UNAUTHORIZED DISBURSEMENTS, THE EXECUTIVE DIRECTOR ALSO SUBMITTED A GRANT CLAIM TO THE STATE IN THE AMOUNT OF 7,650 FOR MISREPRESENTED PURPOSES. AS OF OUR REPORT DATE, THE STATE GRANTING AGENCY HAS NOT REQUESTED REPAYMENT OF THE FUNDS."
PIKE TOWNSHIP EDUCATIONAL FDN,6901 ZIONSVILLE ROAD,INDIANAPOLIS,IN,2015,120684,"IN MARCH, 2016, THE BOARD BECAME AWARE OF FRAUDULENT ACTIVITY OF ABOUT 56,000 FOR THE FISCAL YEAR BY WHAT IS NOW THE FORMER EXECUTIVE DIRECTOR. THE BOARD TOOK SWIFT MEASURES BY TERMINATING THE DIRECTOR IMMEDIATELY AND PURSUING PUNITIVE MEASURES. IT IS AN ACTIVE INVESTIGATION. THE BOARD ALSO ENGAGED A CPA TO REVIEW EXISTING CONTROLS AND HELP PUT INTO PLACE PROPER INTERNAL CONTROLS. THE FINANCE COMMITTEE WAS ESTABLISHED/ENGAGED TO ACTIVELY REVIEWS THE MONTHLY FINANCIAL STATEMENTS."
PORTAGE PARKS RECREATION FOUNDATION INC,PO BOX 747,PORTAGE,IN,2010,13370,ALL DOCUMENTS ARE AVAILABLE UPON WRITTEN REQUEST DURING THE YEAR IT WAS DISCOVERED THAT THE ORGANIZATIONS TREASURER HAD STOLEN MONIES FROM THE ORGANIZATION. POLICE REPORTS HAVE BEEN FILED. CURRENTLY THE SITUATION IS BEING HANDLED IN THE COURTS AUDIT PROCEDURES ARE NOW IN PLACE
SERVLIFE INTERNATIONAL INC,PO BOX 20596,INDIANAPOLIS,IN,2010,944737,"IT WAS IDENTIFIED BY MEMBERS OF THE STAFF THAT CERTAIN EXPENSES INCURRED BY THE ORGANIZATION WERE RELATED TO MATTERS THAT WERE OUTSIDE THE MISSION OF ORGANIZATION AND SHOULD NOT HAVE BEEN INCURRED. EXPENSES WERE DETERMINED TO BE RELATED TO PERSONAL EXPENSES OF THE FORMER EXECUTIVE DIRECTOR. AFTER A PERIOD OF INVESTIGATION AND CONSIDERATION, IT WAS DETERMINED BY THE BOARD OF DIRECTORS THAT THE FORMER EXECUTIVE DIRECTOR SHOULD BE REMOVED FROM THE ORGANIZATION. IT WAS ALSO DETERMINED THAT THE OUTSTANDING EXPENSES CALLED INTO QUESTION SHOULD BE REPAID BY THE FORMER EXECUTIVE DIRECTOR. IT WAS AGREED UPON BY THAT THE FORMER EXECUTIVE DIRECTOR WOULD PAY, THE SUM OF $60,000, BACK TO THE ORGANIZATION IN RELIEF OF A FORMAL PROSECUTION/CIVIL TRIAL. THIS AGREEMENT WAS FORMALIZED AND SIGNED BY BOTH PARTIES."
SERVLIFE INTERNATIONAL INC,PO BOX 20596,INDIANAPOLIS,IN,2011,422180,"IN NOVEMBER 2010, THE EXECUTIVE COMMITTEE DISCOVERED AN UNAUTHORIZED USE OF ORGANIZATIONAL FUNDS HAD OCCURRED. IT WAS DETERMINED THAT THE FUNDS HAD BEEN MISUSED TO PAY AN UNAUTHORIZED PERSONAL EXPENSES INCURRED BY THE FORMER EXECUTIVE DIRECTOR. THE GROSS DIVERSION OF ASSETS TOTALED $60,000. OF THIS AMOUNT, $1,350 HAD BEEN REFUNDED TO THE ORGANIZATION BY JUNE 30, 2012. THE ORGANIZATION RECORDED AN ESTIMATED RECEIVABLE OF $58,650 FOR THE REMAINING AMOUNT. THE ORGANIZATION PRESENTED A NOTE TO THE FORMER EXECUTIVE DIRECTOR WHO AGREED IN WRITING TO PAY BACK THE FULL AMOUNT OF THE FUNDS IDENTIFIED AS HAVING BEEN MISUSED. AS A RESULT OF THIS EVENT, THE ORGANIZATION WAS DOWNSIZED DRAMATICALLY. AS OF JUNE 30, 2012 THE ORGANIZATION WAS COMPRISED OF TWO EMPLOYEES. AS A RESULT OF THE DIVERSION OF FUNDS, THE ORGANIZATION COMPLETED THE FOLLOWING: - THE INDIVIDUAL COMMITTING THE MISUSE OF FUNDS WAS TERMINATED - AN AGREEMENT WAS ESTABLISHED AND SIGNED BY THE INDIVIDUAL AND THE BOARD INDICATING THAT REPAYMENT OF THE MISUSED FUNDS ALONG WITH INTEREST WOULD BE MADE TO THE ORGANIZATION, WITH PENALTIES FOR LATE PAYMENTS - THE ORGANIZATION ENLISTED THE ASSISTANCE FROM AN ACCOUNTING PROFESSIONAL TO REVIEW FINANCIAL DATA, IDENTIFY WEAKNESSES IN THE CONTROL ENVIRONMENT THAT ALLOWED THE MISUSE TO GO UNDETECTED FOR A PERIOD OF TIME AND ASSIST IN REDEFINING CONTROLS - THE ORGANIZATION CONTRACTED WITH A CPA FIRM TO HAVE THEIR FINANCIAL STATEMENTS REVIEWED TO ADD LIMITED ASSURANCE THAT THE RECORDING AND REPORTING OF THE EVENT WAS PROPER - THE ORGANIZATION REQUIRED ALL EMPLOYEE EXPENSES NOT BE REIMBURSED UNTIL PROPER SUPPORT WAS PROVIDED TO THE ACCOUNTING DEPARTMENT BY PERFORMING THE MEASURES NOTED ABOVE, THE ORGANIZATION BELIEVES THAT THE RISK OF REOCCURRENCE HAS SUFFICIENTLY BEEN REDUCED."
THETA CHI REALTY CORPORATION,PO BOX 20722,INDIANAPOLIS,IN,2011,473649,"THE PRESIDENT MADE UNAUTHORIZED AND UNAPPROVED FINANCIAL TRANSACTIONS,"
TIPPECANOE COUNTY HISTORICAL ASSOCIATION FOUNDATON INC,1001 SOUTH STREET,LAFAYETTE,IN,2011,10913,
VOITURE NATIONALE VOITURE 21 40 AND 8,934 N 5TH STREET,TERRE HAUTE,IN,2015,54009,
WABASH CENTER INC,2000 GREENBUSH STREET PO BOX 6449,LAFAYETTE,IN,2009,12849383,"IN OCTOBER 2009, DURING THE FISCAL YEAR 2009 ANNUAL AUDIT OF WABASH CENTER, INDEPENDENT AUDITORS UNCOVERED EVIDENCE OF SUSPECT VENDOR PAYMENTS. A SUBSEQUENT INTERNAL INVESTIGATION BY FORENSIC EXAMINERS REVEALED THAT: A - THE FORMER VICE PRESIDENT/CONTROLLER (FORMER OFFICER) DIVERTED A TOTAL OF 4,467,130 (148,110 DURING FISCAL YEAR 2010) FROM WABASH CENTER TO HIS PERSONAL BENEFIT. HE ACCOMPLISHED THE DIVERSION BY ARRANGING FOR PAYMENTS OF FICTICIOUS INVOICES FOR NON-EXISTENT SERVICES BY A FICTICIOUS VENDOR (VENDOR). THE FORMER OFFICER ALTERED MEETING MINUTES TO CREATE A RECORD OF FALSE APPROVALS FOR RENOVATIONS BY VENDOR TO WABASH CENTER FACILITIES. B - THE FORMER OFFICER ARRANGED FOR WABASH CENTER TO PAY VENDOR 148,110 FROM JULY 2009 THROUGH OCTOBER 2009. THE VENDOR PROVIDED NO SERVICES TO WABASH CENTER IN CONSIDERATION OF THESE PAYMENTS. THEREFORE, THE FORMER OFFICER'S DIVERSITON CAUSED WABASH CENTER TO SUFFER A FINANCIAL LOSS OF NET LESS THAN 148,110 FROM THE PERIOD JULY THROUGH OCTOBOER 2009. C - THE FORMER OFFICER DEPOSITED WABASH CENTER CHECKS PAYABLE TO VENDOR INTO AN ACCOUNT UNDER HIS SOLE PERSONAL CONTROL AND THEN USED THOSE FUNDS TO PAY PERSONAL OBLIGATIONS WABASH CENTER HAS CHANGED THE SUPPLIER AUTHORIZATION PROCESS TO REQUIRE DOCUMENTED VERIFICATION OF ALL NEW SUPPLIERS AND CHANGES TO THE VENDOR MASTER FILE. IN ADDITION, THE PAYMENT PROCESS HAS CHANGED TO REQUIRE TWO MANUAL SIGNATURES ON ALL ACCOUNTS PAYABLE CHECKS, INCLUDING ONE SIGNATURE FROM WABASH CENTER'S EXECUTIVE COMMITTEE OF THE BOARD OF DIRECTORS. THE EXECUTIVE COMMITTEE AND WABASH CENTER PRESDIENT ARE GIVEN THE COMPLETE PAYMENT LIST THE DAY BEFORE THE CHECKS ARE PROCESSED TO INSURE A HIGH VISIBILITY OF DISBURSEMENTS. IN ADDITION, THE CENTER HAS CHANGED PERSONNEL HIRING A NEW CHIEF FINANCIAL OFFICER AND CREATING THE NEW POSITION OF CONTROLLER. WITH THE NEW AND IMPROVED STAFF, SEPARATION OF DUTIES HAS BEEN SUBSTANTIALLY IMPROVED. WABASH CENTER HAS ALSO CHANGED FINANCIAL REPORTS TO HIGHLIGHT CHANGES IN THE BALANCE SHEET AND HAS CHANGED THE CAPITAL APPROVAL PROCESS. WABASH CENTER IS CONTINUING TO REVIEW ALL POLICIES AND PROCEDURES TO FURTHER STRENGTHEN INTERNAL CONTROLS."
AMERICAN HOLISTIC NURSES ASSOCIATION,100 SE 9TH STREET NO 3A,TOPEKA,KS,2012,962729,"THE ORGANIZATION DETERMINED THAT THE FORMER EXECUTIVE DIRECTOR RECEIVED REIMBURSEMENTS FOR IMPROPER PERSONAL EXPENSES OVER A PERIOD FROM 2005 TO 2011. THE IDENTIFIED EXPENSES WERE IN EXCESS OF $30,000. THE ORGANIZATION HAS SUBSEQUENTLY RECOUPED $10,000 FROM INSURANCE AND $60,000 FROM THE FORMER EXECUTIVE DIRECTOR FOR THE IMPROPER EXPENSES AND RELATED LEGAL COSTS."
BETHANY HOME COTTAGE COMPLEX ASSOC,321 NORTH CHESTNUT,LINDSBORG,KS,2012,0,"NET ASSETS OF 60,145 REMAINING AT END OF YEAR 2011 WERE MERGED INTO A RELATED 501(C)3 CORPORATION."
CREDIT UNION OF LEAVENWORTH COUNTY,397 FIRST STREET,LANSING,KS,2012,296286,"IN 2012, THE CREDIT UNION DISCOVERED EMPLOYEE EMBEZZLEMENT; ACCORDINGLY HIRED THE ACCOUNTING FIRM, J. TENBRINK &  ASSOCIATES, TO CONDUCT AN INTENSIVE FRAUD AUDIT. THE RESULTS OF THE AUDIT WERE SUBMITTED TO THE FBI AND CUNA. THE EMPLOYEE WAS CHARGED WITH EMBEZZLING $311,700 FROM THE CREDIT UNION AND ITS MEMBERS. SHE PLEAD GUILTY AND HAS BEEN CONVICTED."
HASKELL FOUNDATION,155 INDIAN AVENUE,LAWRENCE,KS,2013,1108958,"LATE IN THE YEAR, IT WAS DISCOVERED THAT THE CFO HAD DIVERTED FOUNDATION FUNDS FOR HIS PERSONAL USE. THE DETAILS ARE SET OUT IN SCHEDULE L - EXCESS BENEFITS."
KANSAS ATHLETICS INCORPORATED,1651 NAISMITH DRIVE,LAWRENCE,KS,2009,67090128,"INDIVIDUALS WERE INDICTED AND SUBSEQUENTLY PLEAD GUILTY TO SELLING COMPLIMENTARY TICKETS FOR THEIR OWN PERSONAL BENEFIT AND GAIN. THE INDIVIDUALS WERE ABLE TO MANIPULATE THE TICKET SYSTEM SO THAT THE THEFT OF THE COMPLIMENTARY TICKETS WAS NOT DETECTED. THE ORGANIZATION ENGAGED FOULSTON SEIFKIN TO INVESTIGATE. LOSSES WERE IN THE RANGE OF $1 MILLION TO $3 MILLION. AS A RESULT OF THE INVESTIGATION, THE ORGANIZATION HAS IMPLEMENTED MANY INTERNAL CONTROLS WITHIN THE TICKET OFFICE INCLUDING HIRING A NEW TICKET OFFICE DIRECTOR. IN ADDITION, THE UNIVERSITY HIRED A FORENSIC AUDITOR WHO REPORTS TO THE UNIVERSITY DIRECTOR OF INTERNAL AUDIT. THE FORENSIC AUDITOR IS FOCUSING HER TIME ON THE INTERNAL CONTROLS WITHIN THE TICKET OPERATION AND THE CORPORATION AS A WHOLE."
KANSAS HEALTH SOLUTIONS LLC,534 S KANSAS AVE NO 510,TOPEKA,KS,2010,12567889,"KHS PREVIOUSLY RECORDED AND RECEIVED PAYMENT OF REVENUE FOR THE FISCAL YEARS 2008 THROUGH 2011 BASED ON SUBMITTED COST REPORTS THAT INCLUDED CERTAIN FRAUDULENT CHARGES FOR PRINTING EXPENSES. THE COMPANY PERFORMED AN INVESTIGATION AND DETERMINED THAT ITS BEST ESTIMATE OF THE FRAUDULENT CHARGES THAT WERE PREVIOUSLY SUBMITTED AND REIMBURSED IS APPROXIMATELY $2.1 MILLION. THESE AMOUNTS HAVE BEEN RECORDED AS REDUCTIONS TO REVENUE IN EACH OF THE PERIODS TO WHICH THE CHARGES, AND RELATED REVENUE, RELATE RESULTING IN AN APPROXIMATELY $2.1 MILLION LIABILITY RECORDED ON THE STATEMENT OF FINANCIAL POSITION AS OF JUNE 30, 2011. KHS BELIEVES THAT IT HAS SUBSTANTIAL INSURANCE RECOVERIES AVAILABLE UNDER ITS EXISTING ARRANGEMENTS RELATED TO ITS EXPOSURE FOR THE FRAUDULENT ACTIVITY NOTED ABOVE. THE COMPANY'S INSURANCE ARRANGEMENT PROVIDES FOR A $10,000 DEDUCTIBLE AS WELL AS MAXIMUM REIMBURSEMENT OF $1 MILLION, WHICH CAN BE INCREASED TO $2 MILLION IF THE INSURED LOSS IS DEEMED TO BE FRAUDULENT UNDER THE INSURANCE ARRANGEMENTS. DUE TO THE UNCERTAINTY RELATED TO COLLECTING ANY INSURANCE RECOVERIES, KHS HAS NOT RECORDED ANY RECEIVABLES AS OF JUNE 30, 2011 RELATED TO THESE ARRANGEMENTS."
LIFE STRATEGIES FOUNDATION,551 N HILLSIDE SUITE 205,WICHITA,KS,2015,389065,"THE GOVERNING BODY MADE THE DECISION TO END ALL OPERATIONS AND AUCTION ALL OF THE ORGANIZATIONS ASSETS. THE AUCTION TOOK PLACE ON OCTOBER 15, 2015 AT THE ORGANIZATION'S ADDRESS: 551 NORTH HILLSIDE WICHITA, KANSAS 67213"
